shortname;fullname;category_path;startdate;templatecourse;enrolment_1;enrolment_1_role
03-ACS-L-A2-S2-BM-AA;03-ACS-L-A2-S2: Bazele managementului (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AA;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-BM-AB;03-ACS-L-A2-S2: Bazele managementului (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AB;2022-02-28;CS2;manual;student
03-ACS-L-A2-S2-BM-AC;03-ACS-L-A2-S2: Bazele managementului (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 2 / Seria AC;2022-02-28;CS2;manual;student
03-ACS-L-A3-S2-P-AA;03-ACS-L-A3-S2: Practică (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 3 / Semestrul 2 / Seria AA;2022-02-28;CS2;manual;student
03-ACS-L-A3-S2-P-AB;03-ACS-L-A3-S2: Practică (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 3 / Semestrul 2 / Seria AB;2022-02-28;CS2;manual;student
03-ACS-L-A3-S2-P-AC;03-ACS-L-A3-S2: Practică (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 3 / Semestrul 2 / Seria AC;2022-02-28;CS2;manual;student
03-ACS-L-A3-S2-P-CA;03-ACS-L-A3-S2: Practică (Seria CA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 3 / Semestrul 2 / Seria CA;2022-02-28;CS2;manual;student
03-ACS-L-A3-S2-P-CB;03-ACS-L-A3-S2: Practică (Seria CB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 3 / Semestrul 2 / Seria CB;2022-02-28;CS2;manual;student
03-ACS-L-A3-S2-P-CC;03-ACS-L-A3-S2: Practică (Seria CC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 3 / Semestrul 2 / Seria CC;2022-02-28;CS2;manual;student
03-ACS-L-A2-S1-LS3-AA;03-ACS-L-A2-S1: Limba străină 3 (Seria AA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 1 / Seria AA;2021-10-04;CS1;manual;student
03-ACS-L-A2-S1-LS3-AB;03-ACS-L-A2-S1: Limba străină 3 (Seria AB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 1 / Seria AB;2021-10-04;CS1;manual;student
03-ACS-L-A2-S1-LS3-AC;03-ACS-L-A2-S1: Limba străină 3 (Seria AC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Ingineria sistemelor / Anul 2 / Semestrul 1 / Seria AC;2021-10-04;CS1;manual;student
03-ACS-L-A2-S1-LS3-CA;03-ACS-L-A2-S1: Limba străină 3 (Seria CA - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 2 / Semestrul 1 / Seria CA;2021-10-04;CS1;manual;student
03-ACS-L-A2-S1-LS3-CB;03-ACS-L-A2-S1: Limba străină 3 (Seria CB - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 2 / Semestrul 1 / Seria CB;2021-10-04;CS1;manual;student
03-ACS-L-A2-S1-LS3-CC;03-ACS-L-A2-S1: Limba străină 3 (Seria CC - 2021);03. Automatică şi Calculatoare / Licenţă / Domeniul Calculatoare şi tehnologia informaţiei / Anul 2 / Semestrul 1 / Seria CC;2021-10-04;CS1;manual;student
